913
9933,15786,15977,34880,24970,34695,3750,2967,11785,2782,42406,10425,40637,11926,9970,34004,31859,20408,30482,12462,4694,47141,45177,313,13658,7868,33526,2526,25019,34402,39259,4784,7440,49410,8846,27651,12148,33274,40006,17780,3180,17373,14337,45957,47847,3882,41301,14135,23672,7764,13107,19900,30698,19389,13049,42743,43966,47295,17031,12147,24267,NULL,NULL,NULL
48346,20249,29255,27958,10524,24916,25176,20155,7924,24324,23054,7870,47911,8930,27954,42752,3073,25189,42490,14857,472,48520,39445,29225,15642,38919,9198,43326,43982,48199,45569,20983,34696,4641,5210,1479,5642,32138,18497,41627,900,36729,43653,8237,2424,1573,14877,38705,22272,7229,25796,23105,4226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11547,6820,24632,48922,605,19685,22818,22649,37974,9668,12942,14689,14192,2672,44273,43596,40696,861,2550,44745,45965,36702,2806,4531,24014,7286,7550,20129,27878,38805,18801,5461,32275,20961,43498,24654,32921,34617,29150,7157,32293,16624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39326,26292,21286,47179,49982,9759,32321,1039,28693,39495,33285,25020,35300,48102,26262,35867,12825,14933,38305,16361,34119,21106,18722,797,4212,42951,23067,2006,39915,32925,13169,39010,13536,7087,8503,33408,36605,6191,10595,17817,18866,34966,28282,32292,14960,29478,1104,46534,20549,45195,556,42389,32090,47032,21264,26181,27316,4474,41814,7824,35969,28279,NULL,NULL
17269,9028,43337,17446,9686,44608,30087,38816,6262,34998,48643,12011,2367,535,40020,47133,10756,12726,20762,31112,46161,43122,3234,14631,34336,33147,38334,27054,47387,44788,360,48715,6882,33139,13659,42131,974,7352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13431,35048,37148,46314,47480,36572,11067,17147,42489,17479,36839,30795,39890,28833,41593,21556,23187,46716,27543,28297,36618,41712,1650,30797,2637,24458,21059,23167,5536,32071,36944,4351,27703,15925,35218,25795,43362,32089,9843,29468,5306,41434,43718,15240,13407,17956,11333,43676,38043,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9687,27771,36899,11017,16825,43316,34931,12378,14511,17994,5029,18503,1205,2012,3311,39666,37751,13568,29161,17066,8971,10767,10069,37275,32115,33922,16769,4674,33262,11075,21636,14036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37142,17789,26264,46330,33658,5228,37824,35687,39518,24051,17408,31460,17193,9697,12596,6362,39413,29659,2696,9795,17359,30427,11734,14875,17230,15212,47215,27964,21984,20638,38593,8035,31784,21336,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15261,7728,49813,49943,26952,10551,31132,8873,11597,24008,17549,10119,14317,48373,36736,25038,23853,21430,46864,10114,29107,17774,19450,18160,4422,25784,48780,36254,9643,2093,9000,5475,36381,3886,45613,697,26276,39427,8300,5171,35177,9832,37085,44802,2807,29665,43480,6532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42871,11061,32661,35930,13352,18132,24894,28668,6843,33556,35876,23235,42607,49530,26116,31275,18732,25145,26410,4827,40014,41726,11366,33921,32706,1520,7389,37290,48126,3151,48432,4213,31462,49627,12547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14847,35444,8009,39592,36452,20116,49273,40451,18627,48653,29548,16527,17943,21964,32769,21991,49926,34052,20625,26423,36262,47376,25979,48240,20580,2842,42612,48865,39172,3044,49931,16942,6540,11234,11050,14315,32146,433,41773,6557,9592,14640,2854,29839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
