483
5299,771,580,1729,7057,4282,2171,8617,7952,4031,8154,2938,5134,1372,425,915,6654,8105,5295,565,6144,600,3835,8874,810,9396,NULL,NULL,NULL,NULL,NULL,NULL
4875,9709,429,5851,2617,8076,8099,8826,2165,8234,3447,107,9838,8693,6943,260,7261,8792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7911,8421,6992,2487,681,6555,9309,187,2628,4516,3271,7981,4304,3178,7993,3780,7827,9734,7851,8503,2829,8924,1269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7860,2456,3189,6770,8288,5762,893,752,601,3096,7230,7291,5702,1485,3883,5796,2972,1686,4782,6825,9432,1804,4779,1904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8309,6497,9012,6269,2784,7252,602,1021,6521,8624,2362,5405,8431,7493,1863,6430,9017,3205,8054,6567,1284,3555,1842,9385,7009,1349,6813,1204,4117,3317,NULL,NULL
6631,2196,8464,4517,367,787,6355,1560,1379,7540,1776,2718,3398,1559,5532,7715,5990,2,9693,6319,7765,6822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4070,1075,2921,373,2795,8927,5325,4162,7321,7650,7193,708,8289,9691,2308,3642,7717,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5955,7065,82,9417,3609,3030,502,3279,1961,5556,2402,9989,8455,9007,8058,5739,5898,5621,4183,4633,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8488,2294,4748,5642,6735,7944,8876,2693,6424,6515,1138,5534,6091,7678,7712,942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3527,8723,6692,9342,4800,3388,9634,9493,6381,9185,6714,6377,6709,5758,5336,5463,6031,9859,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9554,8190,930,7100,4232,7111,6332,9901,2525,1421,4849,4314,7536,4653,2676,3548,5778,1462,3713,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3019,4295,4602,3428,2105,8367,6184,8964,2937,9660,3522,222,4352,9165,5438,509,1115,3739,1185,1158,1924,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9076,9429,8217,6888,2731,8273,3078,2309,6180,5737,4801,2047,2869,6309,5928,9907,4358,9952,9285,8100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3994,795,4355,8271,6819,7074,7933,5675,5959,7432,2397,543,3020,9646,909,4400,3066,111,1935,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1390,6594,1124,4986,457,9434,500,3433,7816,5496,7797,7011,3154,9221,7815,8383,160,7560,263,2073,8494,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4306,5947,3322,859,6447,2791,2571,3576,8681,7456,4287,1633,6378,3928,3065,3790,7297,5048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9990,6056,3110,6874,456,2592,8151,7969,4570,9156,8678,4874,3996,7066,7284,4066,2740,3267,806,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4666,2188,3853,8030,2106,4999,2975,7853,3282,5255,2068,6055,5477,361,9494,352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2486,6434,1822,1043,3519,6900,5271,5833,9073,4910,542,2885,573,4580,5323,3635,8762,2248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7683,8824,4179,2051,727,821,9657,1775,4316,676,3287,6361,3741,8953,7410,1254,3524,3664,6141,2864,1413,3738,7664,7552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8178,9072,7982,6466,4608,8405,5426,7409,2602,6502,7068,1846,9543,6046,3961,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1346,2799,9312,2730,9279,7182,461,8432,6171,8690,8106,6407,6223,3140,765,8007,9127,1652,6703,949,2219,6298,517,4164,9863,4062,5560,1621,8037,3241,134,NULL
7870,6984,4745,8923,7137,8805,8107,3409,410,8705,8269,215,9121,4887,3623,877,481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4739,9502,7256,9841,1174,3640,3990,2755,7841,6920,9954,9573,9178,7478,2595,5593,3924,3971,9369,8334,8574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9041,4694,9795,6718,3160,8528,6047,5506,1409,336,8629,7476,7616,9087,9422,673,8609,2836,6105,6068,2896,7003,7721,4268,7466,6285,7075,4328,5989,9308,4747,NULL
