283
1067,543,101,795,2327,2406,2302,2301,2786,1484,2433,2083,2922,2527,1584,2023
947,915,826,2317,1512,2110,912,213,720,163,1513,NULL,NULL,NULL,NULL,NULL
1700,2102,675,2920,1576,2388,492,989,1041,426,764,2385,NULL,NULL,NULL,NULL
1218,1794,1050,1730,1487,1307,2235,758,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2509,1682,690,2345,2001,1456,606,1989,794,1681,1136,2082,891,66,148,204
1119,1719,1028,1544,2148,327,1476,1221,925,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1109,289,2035,1645,2895,2498,2626,1636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1540,1202,1718,2594,1091,1144,1533,981,117,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2186,1699,1169,2059,1761,1488,2885,1793,1040,2271,NULL,NULL,NULL,NULL,NULL,NULL
1482,2239,241,1396,2537,1831,2244,1757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2262,94,590,2464,96,263,1874,2146,2241,2667,1663,1668,NULL,NULL,NULL,NULL
2863,1495,1018,1596,2063,801,1400,2499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2811,486,411,2584,449,2157,1233,2741,1593,379,NULL,NULL,NULL,NULL,NULL,NULL
968,2051,884,1900,2094,2592,1405,2149,1913,882,NULL,NULL,NULL,NULL,NULL,NULL
1745,994,285,1961,2496,2280,2533,1647,2421,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2497,1124,748,1671,2740,1315,1688,1539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2201,2675,221,2500,991,890,913,1808,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
500,2150,1177,2213,696,922,1976,1672,1571,433,2751,NULL,NULL,NULL,NULL,NULL
2758,1750,1296,954,1448,679,2466,2927,358,421,2491,2133,394,NULL,NULL,NULL
1606,1031,1506,2982,2480,272,727,949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2043,2971,2132,2937,2191,46,190,2050,2916,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1035,2273,2374,741,889,1,1619,1404,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1547,350,2516,1847,1108,849,762,1660,2980,2849,1555,1492,2568,2778,NULL,NULL
634,1824,2567,1005,2198,942,2315,753,2027,771,NULL,NULL,NULL,NULL,NULL,NULL
2436,2369,2462,1769,2200,1265,124,2698,2414,2153,2267,2100,1204,NULL,NULL,NULL
1007,2037,1261,1116,621,2725,288,1532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
833,2393,632,2467,1962,839,2088,1232,955,1733,NULL,NULL,NULL,NULL,NULL,NULL
791,2426,920,1854,1089,1118,1676,2834,2212,403,NULL,NULL,NULL,NULL,NULL,NULL
2362,235,2609,2032,2046,404,517,1246,1483,274,2074,1938,NULL,NULL,NULL,NULL
