50
38,2,36,-1
49,42,15,-1
43,8,-1,35
40,49,31,-1
28,40,46,-1
1,47,33,-1
16,18,48,-1
10,1,-1,-1
29,24,9,-1
18,36,-1,41
4,45,7,-1
5,29,6,-1
36,22,3,-1
25,31,-1,11
8,38,-1,32
7,39,29,-1
27,37,-1,24
12,11,37,-1
14,26,42,-1
17,32,-1,47
26,20,-1,25
42,17,-1,49
41,4,22,-1
39,25,-1,34
50,50,40,-1
24,48,12,-1
31,19,13,-1
30,43,44,-1
46,10,2,-1
35,35,-1,28
48,41,-1,26
3,5,-1,17
2,21,4,-1
44,3,27,-1
13,16,1,-1
21,30,19,-1
20,34,-1,45
33,12,14,-1
23,33,43,-1
45,14,-1,39
15,13,18,-1
6,23,-1,16
19,46,8,-1
22,44,21,-1
47,15,-1,23
9,28,20,-1
11,9,-1,30
34,6,10,-1
32,7,5,-1
37,27,-1,38
