16,99,0
46,98,1
1,97,2
10,96,3
37,95,4
34,94,5
2,93,6
67,92,7
90,91,8
83,90,9
59,89,10
17,88,11
30,87,12
19,86,13
11,85,14
35,84,15
23,83,16
15,82,17
61,81,18
51,80,19
57,79,20
54,78,21
87,77,22
49,76,23
3,75,24
36,74,25
76,73,26
68,72,27
66,71,28
69,70,29
88,69,30
80,68,31
6,67,32
64,66,33
5,65,34
52,64,35
22,63,36
38,62,37
100,61,38
9,60,39
39,59,40
96,58,41
94,57,42
81,56,43
45,55,44
98,54,45
84,53,46
93,52,47
33,51,48
32,50,49
91,49,50
31,48,51
71,47,52
79,46,53
13,45,54
7,44,55
26,43,56
12,42,57
92,41,58
89,40,59
21,39,60
60,38,61
48,37,62
99,36,63
95,35,64
82,34,65
77,33,66
42,32,67
62,31,68
27,30,69
41,29,70
74,28,71
73,27,72
18,26,73
24,25,74
20,24,75
14,23,76
53,22,77
78,21,78
47,20,79
70,19,80
4,18,81
40,17,82
85,16,83
44,15,84
56,14,85
55,13,86
65,12,87
86,11,88
29,10,89
28,9,90
75,8,91
97,7,92
25,6,93
72,5,94
43,4,95
58,3,96
63,2,97
50,1,98
8,0,99
