50
4,34,14,-1
41,36,27,-1
21,9,2,-1
12,3,42,-1
36,48,49,-1
10,47,33,-1
17,25,15,-1
33,23,26,-1
30,40,41,-1
25,50,23,-1
28,12,47,-1
20,42,39,21
42,21,9,-1
1,2,50,-1
13,16,17,-1
39,7,-1,-1
24,13,37,-1
27,43,5,-1
6,19,-1,46
45,6,-1,25
49,29,4,-1
38,15,1,-1
16,37,20,-1
2,27,29,-1
11,46,13,-1
46,5,32,-1
35,44,43,-1
15,22,44,-1
32,26,7,-1
26,24,36,-1
44,4,28,-1
7,20,10,-1
23,1,16,-1
5,11,8,-1
19,17,45,-1
50,30,35,-1
14,14,48,-1
18,31,-1,34
8,35,19,-1
40,49,31,-1
37,10,11,-1
34,28,24,-1
9,45,30,-1
3,32,-1,-1
31,33,-1,18
48,39,40,-1
22,8,6,-1
29,18,3,-1
43,38,12,-1
47,41,38,-1
