100
13,66,-1,83
43,38,15,-1
48,6,72,-1
18,32,93,-1
62,78,41,-1
95,56,-1,74
14,74,-1,70
11,67,51,-1
9,91,81,-1
46,64,2,-1
33,82,37,-1
26,53,80,-1
93,93,34,-1
67,79,-1,50
23,63,42,-1
45,100,69,-1
2,9,24,-1
91,22,5,-1
4,35,29,-1
84,12,-1,31
15,33,-1,7
78,87,-1,54
99,61,62,-1
29,68,40,-1
5,69,-1,95
30,29,8,-1
8,57,92,-1
98,8,21,-1
81,99,60,-1
35,76,32,-1
52,30,57,-1
82,55,17,-1
25,83,-1,9
37,7,71,-1
97,47,88,-1
100,60,18,-1
1,21,52,-1
75,70,-1,67
40,27,89,-1
66,5,87,-1
16,19,-1,47
59,24,-1,85
12,88,78,-1
49,42,-1,1
17,77,86,-1
86,41,14,-1
63,49,-1,33
10,48,46,-1
39,31,98,-1
28,23,-1,77
3,54,49,-1
56,34,13,-1
57,17,23,-1
44,89,20,-1
54,58,27,-1
87,75,-1,-1
69,26,55,-1
32,59,-1,64
21,36,35,-1
50,43,28,-1
90,46,-1,48
65,92,63,-1
94,4,-1,97
88,71,84,-1
55,65,73,-1
19,86,61,-1
31,80,-1,44
85,18,-1,75
34,52,-1,30
20,97,4,-1
47,84,-1,45
83,73,10,-1
77,37,-1,16
6,50,43,-1
96,13,82,-1
74,15,19,-1
60,94,79,-1
7,72,-1,68
42,45,-1,59
53,1,65,-1
92,16,12,-1
80,51,25,-1
64,25,38,-1
61,3,36,-1
24,90,90,-1
76,40,-1,96
27,44,-1,26
36,39,6,-1
89,11,66,-1
72,10,94,-1
58,20,91,-1
73,95,-1,39
68,28,56,-1
22,96,100,-1
70,62,99,-1
41,98,53,-1
38,2,-1,76
51,85,58,-1
79,14,3,-1
71,81,11,-1
