96,99,0
60,98,1
32,97,2
93,96,3
52,0,4
29,95,5
57,94,6
16,93,7
88,92,8
87,1,9
58,91,10
44,2,11
53,90,12
51,89,13
83,3,14
91,88,15
99,87,16
94,86,17
14,85,18
54,84,19
42,4,20
21,83,21
30,82,22
17,81,23
63,80,24
45,5,25
24,6,26
18,7,27
70,8,28
79,9,29
43,79,30
23,10,31
37,11,32
19,12,33
84,13,34
100,78,35
26,77,36
65,76,37
95,14,38
31,75,39
8,74,40
36,73,41
76,72,42
59,15,43
25,71,44
2,16,45
40,17,46
13,70,47
55,69,48
77,68,49
41,67,50
74,18,51
62,66,52
61,65,53
78,64,54
98,63,55
1,62,56
92,61,57
49,19,58
82,60,59
7,59,60
81,58,61
67,57,62
85,56,63
20,55,64
22,54,65
69,20,66
56,21,67
15,53,68
86,52,69
3,51,70
39,50,71
50,49,72
38,48,73
33,22,74
72,23,75
28,47,76
34,46,77
66,24,78
73,45,79
48,44,80
64,43,81
9,42,82
90,41,83
46,25,84
6,40,85
10,39,86
4,26,87
47,38,88
71,37,89
12,27,90
80,28,91
89,36,92
97,35,93
35,34,94
68,33,95
27,32,96
11,31,97
5,30,98
75,29,99
