20
0,-31,-35,-49,-72,-96,-131,-162,-141,-120,-108,-137,-124,-125,-124,-219,-232,-237,-268,-246
-13,-43,-74,-15,-106,-121,-100,-184,-215,-151,-119,-121,-105,-238,-217,-248,-227,-258,-247,-278
-44,-23,-57,-36,-36,-141,-146,-153,-174,-130,-205,-112,-193,-259,-213,-244,-275,-254,-267,-257
-58,-40,-78,-38,-59,-160,-176,-79,-186,-180,-232,-217,-209,-228,-233,-216,-206,-285,-267,-236
-89,-68,-47,-34,-52,-98,-91,-81,-77,-195,-201,-207,-238,-207,-255,-253,-284,-326,-298,-301
-80,-34,-32,-23,-80,-63,-70,-70,-54,-226,-215,-228,-269,-300,-296,-272,-287,-295,-286,-317
-28,-43,-22,-20,-29,-44,-50,-34,-76,-205,-236,-289,-258,-279,-281,-317,-348,-332,-265,-308
-25,-43,-15,-9,-42,-37,-56,-62,-57,-190,-217,-268,-247,-278,-269,-338,-327,-336,-325,-316
-27,-53,-6,-60,-101,-51,-60,-63,-57,-186,-220,-267,-288,-257,-255,-307,-276,-363,-369,-383
-68,-62,-116,-69,-87,-63,-119,-88,-108,-120,-136,-246,-277,-256,-287,-266,-245,-349,-328,-359
-79,-106,-103,-86,-97,-78,-102,-97,-99,-111,-94,-239,-245,-249,-295,-292,-273,-330,-369,-338
-111,-95,-104,-107,-91,-81,-127,-115,-90,-149,-79,-65,-240,-223,-303,-295,-319,-325,-292,-279
-146,-128,-103,-117,-108,-110,-107,-127,-119,-122,-119,-248,-221,-235,-300,-330,-299,-301,-332,-293
-147,-142,-115,-129,-125,-132,-139,-142,-116,-88,-101,-236,-237,-237,-348,-309,-330,-309,-309,-340
-121,-122,-123,-137,-121,-146,-144,-130,-125,-115,-110,-114,-104,-234,-348,-327,-348,-340,-319,-338
-98,-113,-115,-124,-194,-160,-130,-133,-146,-130,-129,-122,-131,-117,-130,-306,-301,-295,-298,-324
-272,-294,-124,-134,-171,-176,-121,-136,-138,-126,-146,-198,-211,-184,-158,-283,-264,-279,-345,-313
-259,-246,-257,-237,-215,-193,-124,-140,-168,-119,-166,-160,-183,-170,-176,-259,-255,-271,-334,-323
-258,-238,-232,-236,-212,-192,-193,-135,-129,-158,-186,-177,-156,-159,-171,-247,-234,-361,-366,-350
-279,-283,-231,-221,-197,-186,-174,-180,-170,-184,-210,-174,-167,-152,-181,-175,-157,-387,-364,-333
