30
0,-17,-8,52,21,42,1,-30,-11,-22,-15,-30,-61,-40,-71,-89,-115,-107,-99,-31,-91,-94,-122,-124,-106,-115,-338,-333,-321,-354
21,4,10,31,-2,11,32,-9,-49,-64,-20,1,-61,-71,-94,-102,-126,-97,-60,-45,-67,-62,-120,-116,-112,-141,-359,-339,-322,-346
9,-12,19,-2,19,-12,-11,-40,-21,0,11,-29,-89,-50,-81,-51,-79,-59,-42,-44,-106,-105,-130,-105,-277,-327,-315,-335,-334,-375
-22,-6,40,-1,-2,19,-50,-19,-60,-31,-10,-101,-70,-39,-60,-54,-56,-61,-68,-50,-38,-101,-67,-260,-282,-304,-312,-296,-275,-396
-1,20,-12,-43,-22,-27,-39,-34,-65,-44,-16,-80,-67,-52,-78,-63,-77,-80,-84,-77,-87,-77,-84,-235,-266,-297,-299,-265,-254,-285
25,-11,-33,-7,-60,-39,-70,-63,-80,-59,-104,-59,-90,-69,-84,-151,-192,-77,-71,-74,-64,-195,-177,-256,-225,-276,-255,-234,-296,-316
-27,-42,-54,-52,-29,-5,-101,-94,-69,-90,-66,-95,-131,-100,-125,-163,-188,-168,-126,-157,-186,-165,-180,-215,-246,-237,-244,-240,-270,-295
-52,-73,-23,-31,-50,8,-80,-111,-90,-121,-67,-99,-110,-145,-141,-141,-137,-116,-147,-136,-155,-196,-163,-236,-205,-290,-246,-249,-255,-326
-83,-62,-41,-40,-19,-44,-78,-82,-75,-65,-71,-130,-137,-120,-203,-189,-158,-125,-146,-167,-176,-175,-206,-185,-174,-268,-239,-221,-272,-357
-95,-58,-72,-61,-86,-91,-80,-83,-54,-33,-140,-109,-140,-112,-182,-161,-179,-104,-135,-114,-145,-179,-211,-216,-195,-273,-293,-300,-315,-336
-74,-40,-51,-30,-47,-66,-70,-64,-124,-150,-119,-139,-180,-159,-138,-169,-148,-125,-144,-116,-145,-249,-277,-250,-273,-244,-246,-227,-346,-325
-105,-114,-89,-57,-138,-110,-90,-85,-149,-129,-160,-170,-140,-109,-129,-150,-157,-114,-153,-236,-215,-235,-236,-240,-237,-252,-234,-232,-218,-356
-136,-136,-118,-141,-126,-100,-105,-115,-176,-157,-200,-169,-118,-139,-160,-181,-149,-133,-203,-205,-216,-256,-245,-232,-218,-201,-230,-326,-314,-335
-167,-146,-150,-161,-101,-120,-109,-135,-199,-156,-179,-172,-149,-121,-147,-126,-180,-151,-178,-236,-204,-197,-242,-236,-239,-209,-234,-376,-345,-332
-156,-125,-109,-189,-115,-102,-116,-135,-183,-213,-210,-205,-180,-189,-168,-166,-135,-223,-209,-240,-235,-218,-242,-224,-227,-199,-343,-331,-323,-331
-135,-166,-180,-114,-107,-117,-108,-150,-171,-192,-189,-220,-159,-158,-179,-225,-204,-183,-217,-219,-228,-249,-294,-314,-243,-228,-329,-337,-361,-379
-135,-197,-176,-181,-161,-136,-119,-181,-160,-191,-222,-251,-190,-169,-200,-210,-228,-214,-278,-288,-257,-308,-309,-306,-323,-318,-332,-331,-375,-374
-204,-212,-207,-186,-165,-145,-138,-201,-199,-152,-191,-230,-209,-215,-254,-218,-249,-245,-224,-267,-283,-262,-307,-328,-339,-300,-306,-335,-359,-397
-228,-203,-171,-175,-196,-201,-165,-203,-171,-148,-222,-237,-240,-264,-260,-239,-243,-218,-255,-336,-306,-285,-264,-325,-286,-317,-314,-404,-375,-384
-266,-277,-225,-206,-178,-219,-151,-158,-174,-178,-239,-242,-219,-250,-229,-260,-245,-273,-286,-305,-287,-266,-295,-276,-307,-296,-296,-280,-384,-392
-266,-254,-199,-237,-216,-247,-170,-173,-159,-159,-245,-223,-246,-210,-216,-291,-270,-301,-265,-326,-276,-307,-274,-265,-306,-327,-334,-347,-370,-366
-257,-261,-235,-236,-257,-278,-246,-189,-177,-175,-162,-222,-204,-235,-237,-217,-293,-327,-296,-295,-268,-336,-305,-260,-285,-270,-354,-357,-364,-382
-258,-225,-194,-215,-202,-211,-187,-172,-197,-204,-163,-146,-253,-251,-258,-227,-242,-306,-337,-316,-286,-305,-295,-281,-312,-305,-336,-367,-365,-393
-233,-256,-193,-211,-205,-199,-212,-235,-253,-252,-251,-275,-303,-276,-269,-248,-288,-275,-262,-278,-317,-284,-315,-279,-295,-326,-377,-346,-385,-413
-278,-287,-224,-203,-232,-211,-242,-273,-252,-289,-262,-308,-297,-303,-290,-311,-280,-310,-322,-299,-280,-328,-317,-310,-289,-352,-356,-331,-355,-338
-254,-266,-245,-211,-253,-255,-267,-263,-283,-314,-282,-268,-295,-302,-282,-292,-301,-320,-327,-296,-306,-327,-348,-277,-334,-313,-343,-342,-350,-374
-313,-284,-224,-196,-222,-245,-262,-244,-254,-293,-272,-303,-282,-313,-269,-295,-322,-326,-350,-334,-285,-316,-347,-326,-355,-324,-293,-329,-323,-344
-213,-224,-203,-186,-191,-185,-174,-195,-221,-320,-319,-272,-293,-292,-323,-354,-343,-312,-339,-300,-298,-343,-336,-305,-347,-283,-262,-290,-323,-302
-245,-213,-234,-181,-212,-170,-184,-207,-212,-239,-235,-253,-323,-285,-277,-333,-364,-299,-334,-270,-279,-300,-315,-294,-325,-304,-271,-277,-345,-324
-243,-192,-223,-202,-143,-153,-182,-199,-211,-231,-221,-300,-305,-287,-302,-351,-372,-363,-272,-270,-278,-289,-287,-283,-265,-270,-258,-325,-342,-350
